token,bias,pos
fighter,-0.5653176940620916,NOUN
cleaner,-0.6291512909093824,NOUN
like,-0.1296740908405345,VERB
drama,-0.8016080235959828,NOUN
glove,-0.0305445579552376,NOUN
eats,-0.814870660964718,VERB
tasty,-0.1427454290894865,ADJ
elegant,-0.3359216234685749,ADJ
wear,-0.8397339765822256,VERB
shiny,-0.7367057637944021,ADJ
glass,-0.1082044139252831,NOUN
adores,-1.0,VERB
vulnerable,-0.272795122715141,ADJ
pick,-0.8260094171421266,VERB
writer,-0.1399397086660017,NOUN
suspect,-0.07847968061617999,NOUN
minority,-0.3066440230418565,NOUN
engineer,-0.2101462935589968,NOUN
culprit,-0.909700285171156,NOUN
long,-0.2224337087583561,ADV
cling,-0.8983391149568911,VERB
unite,-0.6817796762625525,VERB
mathematician,-0.6850490473639053,NOUN
pregnant,-0.4450816836947862,ADJ
generous,-0.4376891059127679,ADJ
fireman,-0.9674537967414859,NOUN
nurse,-0.1883368494320021,NOUN
