token,bias,pos
rented,-0.5789235061251341,VERB
car,0.8397114607132812,NOUN
reserved,-0.06564274561689754,VERB
hotel,0.7627092313804164,NOUN
north,0.5736341403342757,ADV
drive,1.0,VERB
possibly,0.7100419586171574,ADV
short,0.9594779983612385,ADJ
hike,-0.05440299644534985,NOUN
way,0.6094006669038807,NOUN
spend,0.686984110111797,VERB
decide,0.7576187961803604,VERB
next,0.8901858484057531,ADJ
morning,0.7859362905634824,NOUN
want,0.10054001712653315,VERB
argument,-0.20215188421493857,NOUN
seems,0.8302528929667216,VERB
truth,0.4233879991583185,NOUN
always,0.6736579484712251,ADV
topic,0.11776130743929103,NOUN
circumstance,0.004290893975868348,NOUN
said,0.9367942957287505,VERB
done,0.803542444703454,VERB
knew,0.7875168683086694,VERB
courage,-0.3479281411750055,NOUN
strength,0.6125240070069982,NOUN
address,0.7871540035470462,VERB
underlying,-0.04671386770314734,VERB
issue,0.8762295141853353,NOUN
continue,0.8327849782269416,VERB
simply,0.8415609518729811,ADV
better,0.5244197862678868,ADJ
ignore,-0.3593889354239017,VERB
lesson,-0.5141269119530922,NOUN
dad,-0.19303008429925272,NOUN
trying,0.9143253056539138,VERB
teach,0.28564509161381,VERB
still,0.9118801322794562,ADV
onto,0.9503227325467543,ADP
hate,0.2279266848134237,NOUN
also,0.7619170733061713,ADV
realized,0.17178775340853236,VERB
healthy,0.808803887890496,ADJ
devious,-0.9078638873345364,ADJ
plan,0.8372233376380562,NOUN
become,0.8546458307337087,VERB
far,0.909356883789864,ADV
common,0.9775544244654218,ADJ
event,0.5296541260309824,NOUN
life,0.9232605628394011,NOUN
specifically,0.4647159038876557,ADV
place,0.9214693644106909,NOUN
lose,0.34529433579192115,VERB
know,0.15236368084188412,VERB
exactly,0.6207569775732844,ADV
open,0.7161299244318828,VERB
absolutely,0.18461229801104473,ADV
idea,0.9284827348186693,NOUN
spot,0.7630540511568658,NOUN
inadvertently,-0.8780699632879878,ADV
went,0.5983189132001301,VERB
mall,0.46421845660712646,NOUN
looking,0.9017219439224615,VERB
turn,0.20375052650976,VERB
charge,0.39513439312907894,VERB
full,0.9074265137125522,ADJ
simplest,-0.7920861121812359,ADJ
wee,-0.47591726693264014,ADJ
offering,-0.6976714906308736,NOUN
bought,0.539336063374893,VERB
almond,-0.8021543032715368,NOUN
total,0.7451075345674598,ADJ
cost,0.8669445665152492,NOUN
mean,0.9071493566394738,VERB
real,0.904254448554847,ADJ
per,0.5352891938712054,ADP
revelation,-0.7139080471710373,NOUN
find,0.6540875509650397,VERB
wandering,-0.5443699236784694,VERB
dreamily,-0.948376292933109,ADV
time,0.9803090345876313,NOUN
soon,0.8926503069087879,ADV
pretty,0.8396227575092692,ADJ
come,0.80512840239442,VERB
color,0.31171379262546695,NOUN
shape,0.04691444301916159,NOUN
adjust,0.2990639464849961,VERB
make,0.4239663493205834,VERB
big,0.9050030158880147,ADJ
pop,0.2917138621654224,VERB
gone,0.7772801375361272,VERB
lost,0.6494226946384265,VERB
rest,0.988156000035311,NOUN
mankind,-0.5799171545517585,NOUN
serve,0.9536082558482916,VERB
variety,0.8786827215322757,NOUN
purpose,0.10125165574502226,NOUN
decorating,-0.8111749745850532,VERB
use,0.8519607345434288,VERB
think,0.28886946446260187,VERB
little,0.900742146759357,ADJ
bit,0.9491883548034853,NOUN
eats,-0.8232571106341984,VERB
bread,0.6483352985597436,NOUN
elegant,-0.3451918216702381,ADJ
powerful,0.6237564950490535,ADJ
wear,-0.8480745488890598,VERB
shiny,-0.7452364419887034,ADJ
glass,-0.11789479200816833,NOUN
dark,0.8794905521434445,ADJ
tall,0.41762568182105286,ADJ
man,0.8186810250043051,NOUN
drink,-0.001533730083113083,VERB
water,0.7189421862447722,NOUN
admires,-1.0,VERB
vulnerable,-0.28218180085102507,ADJ
strong,0.885904442023053,ADJ
kind,0.7007782671248257,ADV
beautiful,0.8476804065462968,ADJ
girl,0.853542390674184,NOUN
pick,-0.8343753137701526,VERB
cup,0.7327399378763615,NOUN
